sample id	Sequencing run	Sampling date	Sampling duration (min)	area	Sampling number	DZMZ Lfd Nummer	DSMZ Probe 	DSMZ Barcode	DSMZ Index	Object number SPK	Object number MfN	Spot number	Sample	Institution	Collection	Type of room	Object	Material	Stone type	Color	Inv. number	Spot	Height	Touched	Comments	Comments 2
L34	first	10/8/2020	1	small	34		L_34	17	1	7		17	2	SPK	ANT	exhibition / construction side	Zeus Sosipolis Tempel, Hellenistic Hall	Stone	Marble			Temple, column base		(x)	behind textile coat	
L35	first	10/8/2020	1		35		L_35	47	1		8	18	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2502	bone		x	touched by users	
L36	first	10/8/2020	1		36		L_36	48	1		8	18	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2502	bone		x	touched by users	
L37	first	10/8/2020	1		37		L_37	18	1		8	18	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2502	bone		x	touched by users	
L38	first	10/8/2020	1		38		L_38	49	1		9	19	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			Jg 247	bone, 2. proximal			untouched	
L39	first	10/8/2020	1		39		L_39	50	1		9	19	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			Jg 247	bone, 2. distal			untouched	
L40	first	10/8/2020	1		40		L_40	19	1		9	19	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			Jg 247	bone, last piece			untouched	
L41	first	10/8/2020	1		41		L_41	51	1		9	20	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			Jg 8	bone, bigger piece			untouched	
L42	first	10/8/2020	1		42		L_42	52	1		9	20	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			Jg 8	bone, bigger piece			untouched	
L43	first	10/8/2020	1		43		L_43	20	1		9	20	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			Jg 8	bone, smaller piece			untouched	
L45	first	10/8/2020	1		45		L_45	53	1		9	21	1	MfN	VertPal	Collection	Tendaguru	Air				Air			reference	
L46	first	10/8/2020	1		46		L_46	54	1		9	21	2	MfN	VertPal	Collection	Tendaguru	Air				Air			reference	
L47	first	10/8/2020	1		47		L_47	21	1		9	21	3	MfN	VertPal	Collection	Tendaguru	Air				Air			reference	
L48	first	10/8/2020	1		48		L_48	57	1		10	22	1	MfN	Mollucs	Collection/exhibition	Triton horn	Mollusc			ZMB Moll 49360	outside around hole		xx	very much touched by users	
L49	first	10/8/2020	1		49		L_49	59	1		10	22	2	MfN	Mollucs	Collection/exhibition	Triton horn	Mollusc			ZMB Moll 49360	outside around hole		xx	very much touched by users	
L50	first	10/8/2020	1		50		L_50	22	1		10	22	3	MfN	Mollucs	Collection/exhibition	Triton horn	Mollusc			ZMB Moll 49360	outside around hole		xx	very much touched by users	
L51	first	10/8/2020	1		51		L_51	60	1		10	23	1	MfN	Mollucs	Collection/exhibition	Triton horn	Mollusc			ZMB Moll 49360	inside shell, around hole		xx	very much touched by users	
L52	first	10/8/2020	1		52		L_52	1	2		10	23	2	MfN	Mollucs	Collection/exhibition	Triton horn	Mollusc			ZMB Moll 49360	inside shell, around hole		xx	very much touched by users	
L53	first	10/8/2020	1		53		L_53	23	1		10	23	3	MfN	Mollucs	Collection/exhibition	Triton horn	Mollusc			ZMB Moll 49360	inside shell, around hole		xx	very much touched by users	
L54	first	10/8/2020	1		54		L_54	2	2		11	24	1	MfN	Mollucs	Collection	Mobbi Collection, Müggelsee 1940	Mollusc				shells, inside/outside			untouched, original package unopened	
L55	first	10/8/2020	1		55		L_55	3	2		11	24	2	MfN	Mollucs	Collection	Mobbi Collection, Müggelsee 1940	Mollusc				shells, inside/outside			untouched, original package unopened	
L56	first	10/8/2020	1		56		L_56	24	1		11	24	3	MfN	Mollucs	Collection	Mobbi Collection, Müggelsee 1940	Mollusc				shells, inside/outside			untouched, original package unopened	
L58	first	10/8/2020	1		58		L_58	4	2		12	25	1	MfN	Mollucs	Collection	Chiton	Mollusc				all parts			untouched, original tin unopened	
L59	first	10/8/2020	1		59		L_59	5	2		12	25	2	MfN	Mollucs	Collection	Chiton	Mollusc				all parts			untouched, original tin unopened	
L60	first	10/8/2020	1		61		L_60	33	2		12	25	4	MfN	Mollucs	Collection	Chiton	Mollusc				soft body			untouched, original tin unopened	
2VAM B01	second	10/26/2021	3	0.50	VAM B 01	43	2VAM B01	43	2	5				SPK	VAM	conservation workshop (ceramics)	blaue versinterte Fliesenfragmente	Glazed Ceramic		blue	Kolk M B7 K002	several blue fragments			unknown	possibly 2012
2VAM B02	second	10/26/2021	3	0.50	VAM B 02	44	2VAM B02	4	2	5				SPK	VAM	conservation workshop (ceramics)	blaue glasierte Fliesenfragmente	Glazed Ceramic		blue	Kolk M B7 K054	several blue fragments			unknown	possibly 2012
2VAM B03	second	10/26/2021	3	0.50	VAM B 03	45	2VAM B03	45	2	5				SPK	VAM	conservation workshop (ceramics)	blaue kleine glas. Fliesenfragmente	Glazed Ceramic		blue	Kolk M B7 K047	several blue fragments			unknown	possibly 2012
2VAM B04	second	10/26/2021	3	0.50	VAM B 04	39	2VAM B04	14	2	5				SPK	VAM	conservation workshop (ceramics)	gelbe zusammengesetzte Fliesenfragmente	Glazed Ceramic		yellow	aus: Kolk M B7	several yellow fragments		(x)	unknown , conservators ?	possibly 2021
2VAM B05	second	10/26/2021	3	0.50	VAM B 05	40	2VAM B05	15	2	5				SPK	VAM	conservation workshop (ceramics)	blaue frisch zusammengesetzte Fliesenfragmente	Glazed Ceramic		blue	aus: Kolk M B7	several blue fragments		(x)	unknown , conservators ?	possibly 2021
2VAM NC Werkstatt	second	10/26/2021	3		VAM Werkstatt Negativprobe	42	2VAM NC Werkstatt	20	2					SPK	VAM	conservation workshop (ceramics)	air in ca.1,5m height	Air				Air	1.5		reference	
2VAM B06	second	10/26/2021	3	0.50	VAM B 06	24	2VAM B06	24	1	1				SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	tooth	1.5	x	visitors	
2VAM B07	second	10/26/2021	3	0.50	VAM B 07	22	2VAM B07	22	1	1				SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	back shoulder	1.5			
2VAM B08 St5	second	10/26/2021	3	0.50	VAM B 08	26	2VAM B08 St5	26	1	1				SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	back shoulder	1.5	y	StS	60 secs on sampling day by STS
2VAM B09	second	10/26/2021	3	0.50	VAM B 09	30	2VAM B09	30	1	2				SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	tooth	1.5	x	visitors	
2VAM B10	second	10/26/2021	3	0.50	VAM B 10	23	2VAM B10	23	1	2				SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	back shoulder	1.5			
2VAM B11	second	10/26/2021	3	0.50	VAM B 11	28	2VAM B11	28	1	2				SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	back shoulder	1.5	y	RRP	60 secs on sampling day by RRP
